Name ;Location;Headcounts;Industry;Year Founded;Specialities ;Type;Website;
 Marlink Cyber;Paris, Paris, Île-De-France, France, Europe;82;IT Services and IT Consulting;;"Information Security Assessments
+8";Privately Held;marlink.com;
 LIBERTIFY;Paris, Paris, Île-De-France, France, Europe;35;Technology, Information and Internet;2021;;Self-Owned;libertify.com;
 Komeet Technologies;Paris, Paris, Île-De-France, France, Europe;28;IT Services and IT Consulting;2021;"DataCloud
+11";Privately Held;komeet.tech;
 Olaqin;Suresnes, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;74;IT Services and IT Consulting;;"SESAM Vitale
+7";Privately Held;olaqin.fr;
 Optélios Groupe;Paris, Paris, Île-De-France, France, Europe;47;Financial Services;2012;;Privately Held;optelios-groupe.com;
 AGILIA TECHNOLOGY;Entzheim, Bas-Rhin, Grand Est, France, Strasbourg, Europe;49;Software Development;2017;;Partnership;agilia-technology.com;
 SAFARI TECHNOLOGIES;Saint-Denis, Seine-Saint-Denis, Île-De-France, France, Saint-Denis, Europe;23;IT Services and IT Consulting;2012;"Services Informatiques
+20";Privately Held;hugedomains.com;
 Sefas Innovation;Ivry-sur-Seine, Val-de-Marne, Île-De-France, France, Créteil, Europe;78;Software Development;1991;"Moteur de composition
+14";Privately Held;sefasinnovation.fr;
 DT Master Nature;Paris, Paris, Île-De-France, France, Europe;23;Technology, Information and Internet;2023;"Sustainability
+8";Privately Held;dtmastercarbon.net;
 Symalean;La Chapelle-Achard, Vendée, Pays de la Loire, France, Les Sables-d'Olonne, Europe;31;Software Development;;;Privately Held;symalean.com;
 IT BUBBLY;Levallois-Perret, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;24;IT Services and IT Consulting;2014;"ProjetHelpdesk – Assistance Utilisateur – Support De Proximité
+18";Privately Held;itbubbly.com;
 iTop by Combodo;Échirolles, Isère, Auvergne-Rhône-Alpes, France, Grenoble, Europe;43;Software Development;2010;"CMDB et gestion de services
+5";Privately Held;combodo.com;
 Simphonis;Beaucouzé, Maine-et-Loire, Pays de la Loire, France, Angers, Europe;84;IT Services and IT Consulting;2005;"Transformation digitale
+17";Privately Held;simphonis.com;
 DSD System;Nord, Hauts-de-France, France, Lille, Europe;83;IT Services and IT Consulting;2003;"GMAO ALTAIR
+11";Privately Held;dsdsystem.fr;
 OXYL;Arcueil, Val-de-Marne, Île-De-France, France, L'Haÿ-les-Roses, Europe;175;IT Services and IT Consulting;2017;"JavaSpring
+7";Privately Held;oxyl.fr;
 Sirac;Colombes, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;31;Technology, Information and Internet;1980;"Gestion de Flottes
+2";Privately Held;sirac.fr;
 ARTAL TECHNOLOGIES;Ramonville-Saint-Agne, Haute-Garonne, Occitanie, France, Toulouse, Europe;49;Software Development;1998;"Systèmes Embarqués
+5";Partnership;artal-group.com;
 Actionable;Paris, Paris, Île-De-France, France, Europe;27;Software Development;2024;;Privately Held;snagged.com;
 Twenga Solutions;Paris, Paris, Île-De-France, France, Europe;25;Technology, Information and Internet;2006;"shopping search engine
+8";Privately Held;twenga-solutions.com;
 ICC Finance;Colomiers, Haute-Garonne, Occitanie, France, Toulouse, Europe;99;Financial Services;2011;"Crédit immobilier
+3";Privately Held;hugedomains.com;
 Magma Ambassador;Paris, Paris, Île-De-France, France, Europe;20;Software Development;2020;"Ambassador Led Growth
+4";Privately Held;magma.app;
 BeProject;Mazamet, Tarn, Occitanie, France, Castres, Europe;27;Software Development;2004;"Informatique
+8";Privately Held;beproject.fr;
 Gigalis;Nantes, Loire-Atlantique, Pays de la Loire, France, Nantes, Europe;25;IT Services and IT Consulting;2000;"Télécommunications
+11";Government Agency;gigalis.org;
 Wiztrust;Paris, Paris, Île-De-France, France, Europe;41;Software Development;2014;"Logiciels professionnels
+8";Privately Held;wiztrust.com;
 SERLI;Chasseneuil-du-Poitou, Vienne, Nouvelle-Aquitaine, France, Poitiers, Europe;93;IT Services and IT Consulting;1981;"Innovation
+16";Privately Held;serli.com;
 ACE DIGITALe;Lyon, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;27;IT Services and IT Consulting;2018;"Infrastructure
+11";Partnership;acedigitale.com;
 Wemoov;Carquefou, Loire-Atlantique, Pays de la Loire, France, Nantes, Europe;42;IT Services and IT Consulting;2017;"Montage vidéo automatiséSaaS
+9";Partnership;wemoov.fr;
 INTEGRASOFT Expert Sage X3;Colombes, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;23;IT Services and IT Consulting;2021;"ERPCONSEIL
+29";Self-Owned;integrasoft.fr;
 NOVALYS;Boulogne-Billancourt, Hauts-de-Seine, Île-De-France, France, Boulogne-Billancourt, Europe;30;Software Development;1998;"Code Analyzer
+19";Privately Held;novalys.net;
 Access Group;Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France, Annecy, Europe;61;IT Services and IT Consulting;1987;"services informatiques
+30";Partnership;access.com;
 Orfeo.pro;Rennes, Ille-et-Vilaine, Bretagne, France, Rennes, Europe;67;Software Development;2012;"diffusion
+19";Partnership;orfeo.pro;
 monAlbumPhoto.fr;Paris, Paris, Île-De-France, France, Europe;35;Technology, Information and Internet;;"Faire-parts
+8";Partnership;photobox.fr;
 KEYPROD;Montereau-sur-le-Jard, Seine-et-Marne, Île-De-France, France, Melun, Europe;30;Software Development;2019;;Privately Held;keyprod.com;
 Alyor;Paris, Paris, Île-De-France, France, Europe;98;Financial Services;;;Privately Held;alyor.fr;
 Araïko;Lyon, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;26;Software Development;2019;"Intelligence artificielle
+5";Privately Held;araiko.ai;
 EMB France;Sèvres, Hauts-de-Seine, Île-De-France, France, Boulogne-Billancourt, Europe;39;IT Services and IT Consulting;2001;"e-database management
+3";Privately Held;mappy.com;
 SRCI;Chartres, Eure-et-Loir, Centre-Val de Loire, France, Chartres, Europe;24;Software Development;1986;;Privately Held;srci.fr;
 KNAVE;Paris, Paris, Île-De-France, France, Europe;28;Financial Services;2019;"Location Véhicules électriques
+12";Privately Held;telepathy.com;
 Open Source Software ENSI Club;Gradignan, Gironde, Nouvelle-Aquitaine, France, Bordeaux, Europe;27;Software Development;2012;"Linux OS
+2";Educational;opensource.fr;
 SIMCO;Paris, Paris, Île-De-France, France, Europe;50;Financial Services;;"Finances Locales
+9";Privately Held;inedi.fr;
 MyBeezBox;Boulogne-Billancourt, Hauts-de-Seine, Île-De-France, France, Boulogne-Billancourt, Europe;26;Technology, Information and Internet;2015;"e-tourisme
+12";Privately Held;mybeezbox.fr;
 D'un Seul Geste;Paris, Paris, Île-De-France, France, Europe;23;Software Development;2018;"formation
+12";Self-Owned;dunseulgeste.fr;
 TheValueChain France;Paris, Paris, Île-De-France, France, Europe;61;IT Services and IT Consulting;;"Customer Interaction
+7";Public Company;thevaluechain.eu;
 FIDLEASE GROUPE;Écully, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;38;Financial Services;1996;;Privately Held;fidlease.fr;
 Maxxing;Marcq-En-Barœul, Hauts-De-France, France;42;Software Development;2009;"Gestion de la fidélité client / CRM
+5";Partnership;maxxing.com;
 Meosis;Horbourg-Wihr, Haut-Rhin, Grand Est, France, Colmar, Europe;75;Technology, Information and Internet;2011;"Création de Sites Web sur Mesure
+4";Privately Held;meosis.fr;
 SOLUTIONS INFORMATIQUES;La Garenne-Colombes, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;24;IT Services and IT Consulting;2004;"Réseaux
+7";Privately Held;solutionsinformatiques.fr;
 kyron solutions informatiques;Toulouse, Haute-Garonne, Occitanie, France, Toulouse, Europe;23;IT Services and IT Consulting;2003;"Audits & Conseil
+18";Privately Held;kyronsolutions.io;
 POLLEN;Moirans, Isère, Auvergne-Rhône-Alpes, France, Grenoble, Europe;22;Software Development;2014;"Image Processing
+14";Privately Held;pollen.fr;
 Billet Réduc';Ivry-sur-Seine, Val-de-Marne, Île-De-France, France, Créteil, Europe;22;Technology, Information and Internet;;"LoisirsThéâtre
+18";Privately Held;billetreduc.com;
 DECASOFT;Paris, Paris, Île-De-France, France, Europe;42;IT Services and IT Consulting;2004;"SymfonyREST
+17";Privately Held;decasoft.fr;
 Business Angels 35;Rennes, Ille-et-Vilaine, Bretagne, France, Rennes, Europe;24;Financial Services;2005;;Nonprofit;business-angels-35.fr;
 AGAMA Conseil;Paris, Paris, Île-De-France, France, Europe;38;Financial Services;2013;"Agréments et extensions des sociétés auprès des Autorités de Tutelle en France
+15";Privately Held;leadersleague.com;
 EDGE Consulting;Paris, Paris, Île-De-France, France, Europe;25;IT Services and IT Consulting;2019;"Consultant IT
+23";Privately Held;edgeconsulting.fr;
 Calimed Santé;Marseille, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, 1er Arr., Europe;24;Software Development;2007;"Gestion du dossier patient
+22";Partnership;calimed-sante.fr;
 EDGYN;Paris, Paris, Île-De-France, France, Europe;52;IT Services and IT Consulting;2000;"brand protection
+10";Privately Held;edgyn.eu;
 Yello;Paris, Paris, Île-De-France, France, Europe;34;Technology, Information and Internet;2015;"Payments
+13";Privately Held;yello.fr;
 OpenFire;Saint-Grégoire, Ille-et-Vilaine, Bretagne, France, Rennes, Europe;28;Software Development;2012;"Formation
+12";Privately Held;openfire.fr;
 INO CX;Paris, Paris, Île-De-France, France, Europe;33;Software Development;;"Software publisher
+19";Privately Held;ino.global;
 Vinci Investments;Courbevoie, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;71;Financial Services;2017;"finance de marché
+3";Nonprofit;cerfapp.fr;
 RestoPro et MangezNotez;Marseille, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, 1er Arr., Europe;31;Technology, Information and Internet;2013;"communication
+4";Partnership;mangeznotez.com;
 GO&UP;Paris, Paris, Île-De-France, France, Europe;25;IT Services and IT Consulting;2011;"MobileWeb
+14";Privately Held;goandup.fr;
 Tinitz;Jausiers, Alpes-de-Haute-Provence, Provence-Alpes-Côte D'Azur, France, Barcelonnette, Europe;24;Software Development;2019;"CRMERP
+14";Privately Held;tinitz.com;
 ARTEVA;Limonest, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;20;Software Development;2006;"EDI SaaS
+12";Privately Held;arteva.fr;
 ENTER;Bègles, Gironde, Nouvelle-Aquitaine, France, Bordeaux, Europe;21;IT Services and IT Consulting;2024;"numérique responsable
+19";Nonprofit;enter.co;
 Buybox;Toulouse, Haute-Garonne, Occitanie, France, Toulouse, Europe;58;Technology, Information and Internet;2010;"Digital Gift Card
+6";Privately Held;fruits.co;
 BraindCode;Levallois-Perret, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;24;Software Development;;;Privately Held;braindcode.com;
 LAURALBA CONSEIL;France, Europe;52;IT Services and IT Consulting;1998;"ITSourcing
+3";Partnership;lauralba.net;
 Cora Informatique;Metz, Moselle, Grand Est, France, Europe;207;IT Services and IT Consulting;1971;;Privately Held;118712.fr;
 APTINEO;France, Europe;25;IT Services and IT Consulting;2008;;Privately Held;aptineo.fr;
 Advenis REIM;Paris, Paris, Île-De-France, France, Europe;25;Financial Services;2017;"SCPIImmobilier
+3";Privately Held;advenis-reim.com;
 Triassic Solutions;Marseille, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, 1er Arr., Europe;106;IT Services and IT Consulting;2004;"Software Services
+12";Privately Held;triassicsolutions.com;
 Novaxiom;Villeurbanne, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;76;IT Services and IT Consulting;;"Informatique industrielle
+20";Privately Held;novaxiom.fr;
 MIMBUS;St.-Jean, Haute-Garonne, Occitanie, France, Toulouse, Europe;25;Software Development;2011;;Privately Held;mimbus.com;
 aYaline;Chasseneuil-du-Poitou, Vienne, Nouvelle-Aquitaine, France, Poitiers, Europe;36;IT Services and IT Consulting;1995;"e-commerce
+8";Privately Held;ayaline.com;
 Tekkare;Montrouge, Île-De-France, France;23;Technology, Information and Internet;2015;"Business Intelligence
+15";Privately Held;tekkare.com;
 Vimeet Events;Suresnes, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;47;Software Development;;"Organisation des rendez-vous d'affaires
+13";Privately Held;vimeet.events;
 Machina Capital;Paris, Paris, Île-De-France, France, Europe;23;Financial Services;2016;;Partnership;machinacap.com;
 BankKeys;Reims, Marne, Grand Est, France, Reims, Europe;25;Financial Services;2019;"Regroupement de crédits,
+7";Privately Held;bankkeys.com;
 Baryton;Serris, Seine-et-Marne, Île-De-France, France, Torcy, Europe;60;Software Development;1986;"ERPCRMBI
+10";Partnership;baryton.fr;
 INTESCIA GROUP;Issy-les-Moulineaux, Hauts-de-Seine, Île-De-France, France, Boulogne-Billancourt, Europe;134;IT Services and IT Consulting;1997;"marketingdata
+19";Privately Held;intescia-group.com;
 Eleven VMS;Paris, Paris, Île-De-France, France, Europe;48;Software Development;2013;"Rationalisation des achats
+19";Privately Held;elevenvms.com;
 BILANS SERVICE;Courbevoie, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;27;IT Services and IT Consulting;1985;Traitement de données;Partnership;bilans-service.fr;
 Pims;Paris, Paris, Île-De-France, France, Europe;41;Software Development;2016;"événement
+27";Privately Held;pims.io;
 STi Bureautique;Levallois-Perret, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;31;IT Services and IT Consulting;1989;"Photocopieurs
+12";Self-Owned;stibureautique.fr;
 KS Consulting;France, Europe;72;IT Services and IT Consulting;2013;"DigitalData Lab
+10";Privately Held;ksconsulting.com;
 Neolink filiale du groupe Berger-Levrault;Blois, Loir-et-Cher, Centre-Val de Loire, France, Blois, Europe;29;IT Services and IT Consulting;;"outil de CMS
+8";Partnership;berger-levrault.com;
 Freelance;Paris, Paris, Île-De-France, France, Europe;145;Technology, Information and Internet;2009;"Analytics
+4";Self-Owned;freelance.com;
 Subclic;Marseille, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, 1er Arr., Europe;35;Technology, Information and Internet;2017;"Batiment
+7";Privately Held;subclic.com;
 Doers Tech Enterprise Solutions Pvt Ltd;Crest, Drôme, Auvergne-Rhône-Alpes, France, Die, Europe;27;IT Services and IT Consulting;2017;"IT Services
+5";Privately Held;doerstech.com;
 B4Finance by RiskConcile;Paris, Paris, Île-De-France, France, Europe;24;Financial Services;;;Privately Held;main.nl;
 ALYCE;Sceaux, Hauts-de-Seine, Île-De-France, France, Antony, Europe;126;Software Development;2000;"Comptages
+19";Privately Held;alyce.fr;
 Priscus Finance;Paris, Paris, Île-De-France, France, Europe;37;Financial Services;2004;"Management Consulting
+10";Partnership;priscus.eu;
 Youdge;Levallois-Perret, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;21;Financial Services;2015;;Privately Held;youdge.com;
 Isagri Ingénierie;Tillé, Oise, Hauts-de-France, France, Beauvais, Europe;31;Software Development;1983;;Privately Held;isagri-ingenierie.fr;
 LA PHP Developers Group;Paris, Paris, Île-De-France, France, Europe;20;IT Services and IT Consulting;;PHP/Web Development;Nonprofit;simplyphp.com;
 Naomi;Lille, Nord, Hauts-de-France, France, Lille, Europe;89;Financial Services;2018;"Fidélisation
+4";Privately Held;naomi.fr;
 EOLIA Software - The ATS that simplifies your recruitment !;Dardilly, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;26;Software Development;2005;"ATS Recrutement
+6";Self-Owned;eolia-software.fr;
 ANANAS;Ballancourt-sur-Essonne, Essonne, Île-De-France, France, Évry, Europe;29;IT Services and IT Consulting;2020;;Partnership;ananas.fr;
 Fourseeds;La Madeleine, Nord, Hauts-de-France, France, Lille, Europe;20;Software Development;2019;;Public Company;fourseeds.io;
 TechAndTrust Consulting;Paris, Paris, Île-De-France, France, Europe;24;IT Services and IT Consulting;;;Privately Held;techandtrust.com;
 Reflect;Paris, Paris, Île-De-France, France, Europe;32;Software Development;2022;;Privately Held;puppet.com;
 Guimini;Paris, Paris, Île-De-France, France, Europe;47;IT Services and IT Consulting;2016;"Salesforce
+9";Privately Held;guimini.com;
 NATAN;Paris, Paris, Île-De-France, France, Europe;57;IT Services and IT Consulting;2004;"Conseil en ingénierie
+6";Privately Held;natan.fr;
 CIPAM;Clermont-Ferrand, Puy-de-Dôme, Auvergne-Rhône-Alpes, France, Clermont-Ferrand, Europe;29;IT Services and IT Consulting;1993;"RFIDCODE 2D
+13";Partnership;cipam.com;
 Netdev - Les Kings du web;Annecy, Haute-Savoie, Auvergne-Rhône-Alpes, France, Annecy, Europe;29;Technology, Information and Internet;2016;"Création de sites Internet
+19";Privately Held;netdev.fr;
 Movinmotion;Paris, Paris, Île-De-France, France, Europe;72;IT Services and IT Consulting;2012;"PaieGestion Sociale
+11";Privately Held;movinmotion.com;
 SPOTL;Paris, Paris, Île-De-France, France, Europe;22;Software Development;2020;Sous-titrage automatique post-édité;Privately Held;spotl.io;
 Wemap, Smart Maps;Montpellier, Occitanie, France;29;Software Development;2013;"mapscommunication
+14";Privately Held;getwemap.com;
 SRCI;Chartres, Eure-et-Loir, Centre-Val de Loire, France, Chartres, Europe;21;Software Development;1986;;Privately Held;srci.fr;
 ISI-COM;Perpignan, Pyrénées-Orientales, Occitanie, France, Perpignan, Europe;41;Software Development;1994;"Solution logicielle pour les services clients et les centres de contacts
+7";Privately Held;isi-com.com;
 AZIMUT;Larmor-Plage, Morbihan, Bretagne, France, Lorient, Europe;29;Technology, Information and Internet;1994;"Solutions numériques sur mesure
+15";Privately Held;azimut.fr;
 Novaliance;Malakoff, Hauts-de-Seine, Île-De-France, France, Antony, Europe;23;IT Services and IT Consulting;2008;"Conseil & Intégration
+6";Privately Held;novalliance.net;
 Mikadolabs;Courbevoie, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;20;IT Services and IT Consulting;2016;"Dockerdevops
+12";Partnership;mikadolabs.com;
 Drapo;Paris, Paris, Île-De-France, France, Europe;29;Financial Services;2015;"CEEEfficacité Énergétique
+3";Self-Owned;drapo.com;
 SCANTECH;Marignane, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, Istres, Europe;28;IT Services and IT Consulting;1993;"le marquage d'identifiants
+7";Privately Held;scantech.com;
 EsaLink;Bézannes, Marne, Grand Est, France, Reims, Europe;34;Software Development;2017;"EDIEAI
+30";Privately Held;esalink.com;
 GePI Conseil;Angers, Maine-et-Loire, Pays de la Loire, France, Angers, Europe;24;Software Development;2006;"logiciel DUI
+20";Privately Held;gepi-conseil.fr;
 IBAT;Les Pavillons-sous-Bois, Seine-Saint-Denis, Île-De-France, France, Bobigny, Europe;26;Software Development;2016;"consultation appels d'offres
+12";Partnership;ibat.com;
 1640 finance;Élancourt, Yvelines, Île-De-France, France, Rambouillet, Europe;43;Financial Services;2010;"Recouvrement
+2";Partnership;1640.fr;
 Mitek Systems, previously A2iA;Paris, Paris, Île-De-France, France, Europe;25;IT Services and IT Consulting;1991;"Data recognition with a focus on handwriting and unstructured content
+9";Privately Held;miteksystems.com;
 Atkan, intégrateur exclusif Anaplan;Paris, Paris, Île-De-France, France, Europe;45;IT Services and IT Consulting;2015;"Anaplan
+8";Partnership;atkan.fr;
 Clipper;Éguilles, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, Aix-en-Provence, Europe;139;Software Development;1987;"GPAOERP
+21";Privately Held;clipper.fr;
 ALTIMANCE;Anzin, Nord, Hauts-de-France, France, Valenciennes, Europe;160;IT Services and IT Consulting;2017;;Partnership;unea.fr;
 Normasys;Paris, Paris, Île-De-France, France, Europe;48;IT Services and IT Consulting;1998;;Privately Held;normasys.com;
 SquareMind;Paris, Paris, Île-De-France, France, Europe;20;Software Development;;"artificial intelligence
+2";Privately Held;squaremind.com;
 IP Twins;Paris, Paris, Île-De-France, France, Europe;23;Technology, Information and Internet;2002;"Domain names
+17";Privately Held;iptwins.com;
 Storyzy;Paris, Paris, Île-De-France, France, Europe;40;Technology, Information and Internet;2012;"Journalism
+17";Privately Held;storyzy.fr;
 THEIA;Paris, Paris, Île-De-France, France, Europe;21;Software Development;2006;Digital exams and Assessment on computers;Privately Held;theia.fr;
 AUTHENTIC Group;St.-Herblain, Loire-Atlantique, Pays de la Loire, France, Nantes, Europe;40;IT Services and IT Consulting;2004;"ERP Project
+7";Partnership;authentic.fr;
 akawan;Toulouse, Haute-Garonne, Occitanie, France, Toulouse, Europe;33;IT Services and IT Consulting;2015;"Virtualisation des systèmes d'information
+25";Partnership;akawan.com;
 Coyote Business Services;Bordeaux, Gironde, Nouvelle-Aquitaine, France, Bordeaux, Europe;39;IT Services and IT Consulting;2015;"Logistique
+9";Partnership;moncoyote.com;
 ELOSI;Villeneuve-d'Ascq, Nord, Hauts-de-France, France, Lille, Europe;86;IT Services and IT Consulting;2005;"Services informatiques
+12";Privately Held;elosi.com;
 TheAgent;Paris, Paris, Île-De-France, France, Europe;27;Technology, Information and Internet;2014;"FashionApparel
+8";Privately Held;theagent.com;
 eiG sas;Courbevoie, Île-De-France, France;97;Software Development;1980;"Logiciel de gestion
+22";Privately Held;eig.fr;
 AMJ-groupe;France, Europe;34;Technology, Information and Internet;1986;"Développement sur-mesure
+12";Privately Held;amj-groupe.com;
 Docoon.immo (ex Neovacom);Marseille, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, 1er Arr., Europe;27;IT Services and IT Consulting;2010;"Editeur de logiciel
+12";Partnership;docoon.immo;
 Exalog;Boulogne-Billancourt, Hauts-de-Seine, Île-De-France, France, Boulogne-Billancourt, Europe;43;Software Development;1984;"Gestion de trésorerie
+19";Partnership;exalog.io;
 Data Pulse;Paris, Paris, Île-De-France, France, Europe;24;IT Services and IT Consulting;2019;"DataPower BI
+6";Privately Held;data-pulse.fr;
 REFSA;Paris, Paris, Île-De-France, France, Europe;71;IT Services and IT Consulting;1996;"Conseil et Formation pour la mise en place de solutions BIM
+7";Privately Held;refsa.com;
 INGENIE;Le Cheylas, Isère, Auvergne-Rhône-Alpes, France, Grenoble, Europe;28;Technology, Information and Internet;2003;;Privately Held;ingenie.fr;
 Dalibo;Paris, Paris, Île-De-France, France, Europe;39;Software Development;2005;"PostgreSQL
+7";Privately Held;dalibo.com;
 GROUPE ROS DIGITAL;Chatou, Yvelines, Île-De-France, France, Saint-Germain-en-Laye, Europe;137;IT Services and IT Consulting;2001;"Bureautique
+20";Partnership;rosdigital.fr;
 Ricoh Industrie France S.A.S;Wettolsheim, Haut-Rhin, Grand Est, France, Colmar, Europe;203;IT Services and IT Consulting;1987;;Privately Held;ricoh-thermal.com;
 DIGITALISIM;Lyon, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;38;Technology, Information and Internet;2018;"Création Site Internet
+8";Privately Held;digitalisim.fr;
 SOMEI;Marseille, Bouches-du-Rhône, Provence-Alpes-Côte D'Azur, France, 1er Arr., Europe;182;Software Development;1976;"Editeur solutions digitales
+9";Self-Owned;somei.fr;
 Fluence;Paris, Paris, Île-De-France, France, Europe;22;Financial Services;2011;;Privately Held;fluence.eu;
 Intuitiv interactive;Lyon, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;35;IT Services and IT Consulting;2005;"Consulting des NTIC
+6";Privately Held;intuitiv.fr;
 TORUS AI;Ramonville-Saint-Agne, Haute-Garonne, Occitanie, France, Toulouse, Europe;26;Software Development;2019;"artificial intelligence
+16";Privately Held;torusai.io;
 The Information Lab France;Paris, Paris, Île-De-France, France, Europe;40;IT Services and IT Consulting;2015;"TableauAlteryx
+12";Privately Held;theinformationlab.com;
 Flexam Invest;Paris, Paris, Île-De-France, France, Europe;23;Financial Services;2011;;Self-Employed;flexaminvest.com;
 SAM Informatique - Groupe SAM;Neufchâteau, Vosges, Grand Est, France, Neufchâteau, Europe;51;IT Services and IT Consulting;2001;"Informatique
+5";Privately Held;bispro.fr;
 Agence Dioqa;Ancenis, Loire-Atlantique, Pays de la Loire, France, Ancenis, Europe;23;Technology, Information and Internet;2014;"Sites internet
+9";Privately Held;dioqa.com;
 Déessi;Clichy, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;55;IT Services and IT Consulting;1999;"infogérance
+10";Privately Held;deessi.fr;
 SEMAPHORS;Saint-Grégoire, Ille-et-Vilaine, Bretagne, France, Rennes, Europe;28;IT Services and IT Consulting;1996;"Intégration de logiciels médicaux
+4";Privately Held;semaphors.com;
 première.page;Anglet, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France, Bayonne, Europe;33;Technology, Information and Internet;2013;"seoréferencement
+12";Privately Held;premierepage.fr;
 Nsigma Junior-Entreprise;Saint-Martin-d'Hères, Isère, Auvergne-Rhône-Alpes, France, Grenoble, Europe;42;IT Services and IT Consulting;1980;"AIData Science
+11";Nonprofit;nsigma.fr;
 Fibus | Receivables Finance & Trade Credit Advisory;Neuilly-sur-Seine, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;65;Financial Services;2005;"Factoring
+19";Privately Held;fibus.com;
 Les Hermines;Paris, Paris, Île-De-France, France, Europe;29;Financial Services;;;Self-Owned;hermines.eu;
 Sixthfin;Paris, Paris, Île-De-France, France, Europe;25;Software Development;2020;"AuditDataviz
+9";Partnership;sixthfin.com;
 VAL Software;Blagnac, Haute-Garonne, Occitanie, France, Toulouse, Europe;69;IT Services and IT Consulting;1986;"gestion de la formation
+22";Privately Held;valsoftware.com;
 Cotton Bird;Croix, Nord, Hauts-de-France, France, Lille, Europe;46;Technology, Information and Internet;2011;"Faire-part de mariage
+4";Privately Held;cottonbird.fr;
 Sixaxe;Rueil-Malmaison, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;40;IT Services and IT Consulting;;"Workforce Management
+19";Partnership;sixaxe.com;
 Usual;Paris, Paris, Île-De-France, France, Europe;22;Financial Services;2022;;Privately Held;usual.io;
 Intempora;Paris, Paris, Île-De-France, France, Europe;22;Software Development;2000;"Software development
+22";Privately Held;intempora.fr;
 Advize;Nice, Alpes-Maritimes, Provence-Alpes-Côte D'Azur, France, Nice, Europe;25;Financial Services;2012;"FinTechEpargne
+3";Privately Held;advize.fr;
 VIOUSLY;Paris, Paris, Île-De-France, France, Europe;27;Software Development;2017;;Partnership;viously.fr;
 Experium Consulting;Lyon, Rhône, Auvergne-Rhône-Alpes, France, Lyon, Europe;32;IT Services and IT Consulting;;"erpsage
+9";Privately Held;experium-consulting.com;
 Estella Mobility;Toulouse, Haute-Garonne, Occitanie, France, Toulouse, Europe;27;IT Services and IT Consulting;2016;"Conseil en R&DAudit
+5";Partnership;estellamobility.com;
 Elements - ITSM Apps for Jira and Confluence;Toulouse, Occitanie, France;52;Software Development;2006;"apps for jira
+7";Privately Held;elements-apps.com;
 Deemply;La Roche-sur-Yon, Vendée, Pays de la Loire, France, La Roche-sur-Yon, Europe;22;Technology, Information and Internet;2014;"DEMATERIALISATION
+12";Privately Held;deemply.com;
 LACOUR CONCEPT;Saint-Doulchard, Cher, Centre-Val de Loire, France, Bourges, Europe;115;Software Development;;"Secteur de l'après-vente automobile
+5";Privately Held;groupe-lacour.fr;
 BK- HR;Puteaux, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;51;IT Services and IT Consulting;2007;;Privately Held;bk-hr.fr;
 SLOOP;Paris, Paris, Île-De-France, France, Europe;22;IT Services and IT Consulting;2013;"Digitalcorporate
+6";Privately Held;sloop.fr;
 epresspack;Paris, Paris, Île-De-France, France, Europe;41;Software Development;2011;"Multimedia press releases
+30";Privately Held;epresspack.com;
 Actuelburo;Narrosse, Landes, Nouvelle-Aquitaine, France, Dax, Europe;98;IT Services and IT Consulting;1976;"bureautiquecloud
+23";Privately Held;actuelburo.fr;
 MATOS-BTP;Nantes, Loire-Atlantique, Pays de la Loire, France, Nantes, Europe;28;Software Development;2018;"Location BTP
+11";Privately Held;matosbtp.com;
